step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,recall/_macro,recall/_micro,recall/_weighted
1,0.58203125,0.23520152924737628,0.12342815918657038,0.5820262500429526,0.6177339237008037,1.7721316814422607,1.7721316814422607,0.9442163048122942,0.001,0.9,0.1330054866896972,0.58203125,0.6648921713066449,0.11617826617826617,0.58203125,0.58203125
2,0.71875,0.07050586003323692,0.14311626652448456,0.7187450000347824,0.7156985074211839,0.6213003396987915,0.6213003396987915,0.1225763270089185,0.001,0.9,0.14562469112184545,0.71875,0.727946597956223,0.1436697947661555,0.71875,0.71875
3,0.794921875,0.04278166264992236,0.1586042415243918,0.7949168750314494,0.7935628336191629,0.46838074922561646,0.46838074922561646,0.09298389341403941,0.001,0.9,0.1601549269271781,0.794921875,0.7997991746965754,0.15857956540992868,0.794921875,0.794921875
4,0.82421875,0.04165495216144707,0.16484060435206163,0.8242137500303315,0.8242352102326671,0.40992307662963867,0.40992307662963867,0.07701160277032504,0.001,0.9,0.1648660196545199,0.82421875,0.8246641430903986,0.1648977099236641,0.82421875,0.82421875
5,0.861328125,0.06355204550160465,0.17211903010769994,0.8613231250290247,0.8607525539147924,0.34612640738487244,0.34612640738487244,0.1220442375321533,0.001,0.9,0.17328192157897188,0.861328125,0.8657936705742704,0.1720818070818071,0.861328125,0.861328125
6,0.865234375,0.05355179868905577,0.17300870670611818,0.8652293750288937,0.8651609076995483,0.3153516948223114,0.3153516948223114,0.09229915729382693,0.001,0.9,0.17311640430186487,0.865234375,0.8654215692742515,0.1729679389312977,0.865234375,0.865234375
7,0.888671875,0.06252858809949324,0.17765145197858478,0.8886668750281317,0.888415823265567,0.27990859746932983,0.27990859746932983,0.1093222954937919,0.001,0.9,0.1782517601022939,0.888671875,0.8906379383887169,0.17754809160305346,0.888671875,0.888671875
8,0.908203125,0.04537144576972561,0.18162778138159613,0.9081981250275267,0.9081935698051792,0.24854424595832825,0.24854424595832825,0.0922077468887155,0.001,0.9,0.18163757692366422,0.908203125,0.9082009478026173,0.18162137404580153,0.908203125,0.908203125
9,0.880859375,0.03905733651606638,0.17615987147506215,0.8808543750283812,0.8808293672644685,0.2716081738471985,0.2716081738471985,0.10707373944943194,0.001,0.9,0.17620967741935484,0.880859375,0.8809775075604839,0.17614571092831963,0.880859375,0.880859375
10,0.900390625,0.05116372260351144,0.18007522493011102,0.9003856250277655,0.9003875251260978,0.26121899485588074,0.26121899485588074,0.06931418158321409,0.001,0.9,0.1800738570469389,0.900390625,0.9004012948826527,0.18007996703648876,0.900390625,0.900390625
