step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,f1/class_00,f1/class_01,f1/class_02,f1/class_03,f1/class_04,f1/class_05,f1/class_06,f1/class_07,f1/class_08,f1/class_09,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,precision/class_00,precision/class_01,precision/class_02,precision/class_03,precision/class_04,precision/class_05,precision/class_06,precision/class_07,precision/class_08,precision/class_09,recall/_macro,recall/_micro,recall/_weighted,recall/class_00,recall/class_01,recall/class_02,recall/class_03,recall/class_04,recall/class_05,recall/class_06,recall/class_07,recall/class_08,recall/class_09,support/class_00,support/class_01,support/class_02,support/class_03,support/class_04,support/class_05,support/class_06,support/class_07,support/class_08,support/class_09
1,0.15600000047683715,0.08260921981272172,0.15241377950659654,0.15599500016025128,0.1552679444350563,0.2264100962299511,0.2574207470825319,0.05881963693579106,0.2247142079085963,0.15999500015624515,0.08218711979895932,0.07894264917408664,0.21238438417267316,0.12388880590305384,0.09937514770407696,2.576484338760376,2.576484338760376,0.34889184467805967,0.001,0.9,0.16303481357045127,0.15600000000000003,0.16635903474607486,0.2222222222222222,0.25,0.11111111111111116,0.26315789473684215,0.16000000000000003,0.11111111111111116,0.10344827586206895,0.21818181818181814,0.125,0.06611570247933884,0.1550904532397147,0.15600000000000003,0.15599999999999997,0.23076923076923073,0.26530612244897955,0.040000000000000036,0.196078431372549,0.16000000000000003,0.06521739130434778,0.06382978723404253,0.2068965517241379,0.1228070175438597,0.19999999999999996,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
2,0.25200000166893005,0.037580394352315895,0.2405621728589355,0.25199500009920445,0.2439395027819832,0.2736792554913743,0.32074974553807284,0.07920292159777044,0.29687020637623174,0.234229283442034,0.1481456241856621,0.3389782577523469,0.2782558700331178,0.2884565847744192,0.1470539793983257,2.0231225118637086,2.0231225118637086,0.08639821723482043,0.001,0.9,0.26989828288037404,0.252,0.2707023442314512,0.3023255813953488,0.29824561403508776,0.07843137254901966,0.24675324675324672,0.21311475409836067,0.5,0.2816901408450704,0.2807017543859649,0.3191489361702128,0.1785714285714286,0.24859961954531537,0.252,0.252,0.25,0.34693877551020413,0.07999999999999996,0.37254901960784315,0.26,0.08695652173913049,0.42553191489361697,0.27586206896551724,0.26315789473684215,0.125,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
3,0.36600000333786015,0.06929068617075687,0.33711288298796027,0.3659950000683051,0.337725331819099,0.4057924050112961,0.5964863266022955,0.037734781091101226,0.19177661108889152,0.3076873151697659,0.32910905951750397,0.4123661388637818,0.39534436727606637,0.36696748765305776,0.3278643376058428,1.7130042695999146,1.7130042695999146,0.1362695079861022,0.001,0.9,0.3749460635017551,0.366,0.3709198194072123,0.32558139534883723,0.523076923076923,0.33333333333333337,0.31818181818181823,0.2962962962962963,0.3939393939393939,0.4,0.29824561403508776,0.3846153846153846,0.47619047619047616,0.3604818691522702,0.366,0.36599999999999994,0.5384615384615384,0.6938775510204082,0.020000000000000018,0.13725490196078427,0.31999999999999995,0.28260869565217395,0.42553191489361697,0.5862068965517242,0.3508771929824561,0.25,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
4,0.4120000014305115,0.06931139349726405,0.4003483625465486,0.41199500006067896,0.4025162678673368,0.49999503477152957,0.6507888977419451,0.22499531259765426,0.4369698920116823,0.3593702393208786,0.3368371103233772,0.36841633316295014,0.39251839992304144,0.40859740553550566,0.3249950000769219,1.5822856483459473,1.5822856483459473,0.14157205036439913,0.001,0.9,0.4145785253254103,0.41200000000000003,0.41869734944858095,0.5454545454545454,0.5324675324675325,0.30000000000000004,0.38235294117647056,0.2948717948717948,0.326530612244898,0.48275862068965514,0.4285714285714286,0.5277777777777778,0.32499999999999996,0.4114177803217268,0.41200000000000003,0.41200000000000003,0.46153846153846156,0.8367346938775511,0.18000000000000005,0.5098039215686274,0.45999999999999996,0.34782608695652173,0.2978723404255319,0.3620689655172413,0.33333333333333337,0.32499999999999996,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
5,0.4960000007152558,0.06021517216779184,0.4739864588037571,0.4959950000504027,0.47668810940004325,0.45544054902058156,0.7446758601511501,0.09523481996650915,0.4666617556072386,0.42856648602638886,0.41757741824606265,0.5849007244987551,0.5611462160765115,0.5594357651151738,0.42622499332920055,1.4442297458648683,1.4442297458648683,0.13947860501984277,0.001,0.9,0.49167844069387845,0.496,0.48838141831472326,0.4693877551020408,0.7777777777777778,0.23076923076923073,0.5384615384615384,0.3870967741935484,0.4222222222222223,0.5254237288135593,0.4814814814814815,0.4651162790697675,0.6190476190476191,0.48801442378900955,0.496,0.496,0.4423076923076923,0.7142857142857143,0.06000000000000005,0.4117647058823529,0.48,0.4130434782608695,0.6595744680851063,0.6724137931034483,0.7017543859649122,0.32499999999999996,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
6,0.5380000033378601,0.07788277792686663,0.5322724924124285,0.5379950000464679,0.5321344142452035,0.48076423082123015,0.7454496049914205,0.2926781678346694,0.5436843209056205,0.4464236288812517,0.5494455500998299,0.5842646787447024,0.5901589465619088,0.5470035503415007,0.5428522449421508,1.289594708442688,1.289594708442688,0.13860636288624212,0.001,0.9,0.5373357564493206,0.538,0.5346327639955086,0.4807692307692307,0.6721311475409837,0.375,0.5384615384615384,0.4032258064516129,0.5555555555555556,0.6190476190476191,0.5625,0.5333333333333333,0.6333333333333333,0.536028644666553,0.538,0.538,0.4807692307692307,0.8367346938775511,0.24,0.5490196078431373,0.5,0.5434782608695652,0.5531914893617021,0.6206896551724138,0.5614035087719298,0.475,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
7,0.5820000004768372,0.0631911441994385,0.5784112514995768,0.581995000042955,0.5781910405843648,0.533328333833714,0.8199950020304633,0.4042503395814833,0.5576873095862142,0.37777283957072455,0.5976961659815693,0.7096724199681591,0.5409786186968887,0.6885196116995289,0.5542118740470228,1.2040455980300904,1.2040455980300904,0.08645973959132786,0.001,0.9,0.5784411661454161,0.5820000000000001,0.5772618310477273,0.5283018867924528,0.803921568627451,0.43181818181818177,0.5471698113207547,0.42500000000000004,0.6341463414634146,0.7173913043478262,0.515625,0.6461538461538461,0.5348837209302326,0.5811976356702835,0.5820000000000001,0.5820000000000001,0.5384615384615384,0.8367346938775511,0.38,0.5686274509803921,0.33999999999999997,0.5652173913043479,0.7021276595744681,0.5689655172413793,0.736842105263158,0.575,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
8,0.6320000023841857,0.07728234226677905,0.6325161311916665,0.6319950000395567,0.6297210867638969,0.5405355604711725,0.8085056473825517,0.4691310776272234,0.599995002041633,0.5714235828099912,0.5494455500998299,0.7628816027535065,0.6461489041798096,0.6363586430143882,0.7407357415365592,0.9971108751296998,0.9971108751296998,0.11973637320477223,0.001,0.9,0.6394495254388437,0.632,0.6360790502172513,0.5084745762711864,0.8444444444444444,0.6129032258064516,0.6122448979591837,0.5454545454545454,0.5555555555555556,0.74,0.5833333333333333,0.6603773584905661,0.7317073170731707,0.6339553897298893,0.632,0.6320000000000001,0.5769230769230769,0.7755102040816326,0.38,0.5882352941176471,0.6,0.5434782608695652,0.7872340425531915,0.7241379310344828,0.6140350877192983,0.75,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
9,0.652000002861023,0.06320867168772805,0.6495827054724608,0.6519950000383433,0.6525568371735692,0.5833283680978192,0.7272677278172469,0.5199950000480764,0.6930643074569052,0.5640976697042384,0.6595694703864425,0.7173863067455905,0.7079596053293341,0.7478210873680186,0.5753375117709358,0.9977101888656617,0.9977101888656617,0.1885008515533499,0.001,0.9,0.655308329044433,0.652,0.6575355181771394,0.6363636363636364,0.72,0.52,0.7,0.4925373134328358,0.6458333333333333,0.7333333333333334,0.7272727272727273,0.7413793103448276,0.6363636363636364,0.6484511766195283,0.652,0.652,0.5384615384615384,0.7346938775510203,0.52,0.6862745098039216,0.6599999999999999,0.6739130434782609,0.7021276595744681,0.6896551724137931,0.7543859649122807,0.525,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
10,0.7520000019073486,0.07010337070079456,0.7457896853063225,0.7519950000332445,0.7455266724045719,0.7450930411715505,0.838090260347025,0.615379664331586,0.738733771642845,0.5301156917256772,0.7209252569299597,0.7676717804629679,0.7839950259515578,0.8571378659989809,0.8607544945010743,0.7902236375808716,0.7902236375808716,0.16742717490318307,0.001,0.9,0.7510129146290062,0.752,0.7490452614733029,0.76,0.7857142857142857,0.6829268292682926,0.6833333333333333,0.6666666666666667,0.775,0.7307692307692308,0.7313432835820896,0.8225806451612903,0.8717948717948718,0.7504638093158443,0.752,0.752,0.7307692307692308,0.8979591836734694,0.56,0.803921568627451,0.43999999999999995,0.6739130434782609,0.8085106382978724,0.8448275862068966,0.8947368421052632,0.85,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
